fuzzyInput,left,centre, right,fuzzyOutput,fuzzyInterval
-0.14,267.35,126.66,10.65,-0.4,0.152284384
-0.14,267.35,126.66,10.88,-0.4,0.153819561
-0.14,267.35,126.66,10.88,-0.4,0.013809443
-0.14,267.35,126.66,10.88,-0.4,0.013564587
-0.14,339.89,126.66,10.88,-0.4,0.172359943
-0.14,339.89,126.66,10.88,-0.4,0.017762184
-0.14,339.89,77.74,11.11,-0.69,0.210916519
-0.14,339.89,77.74,11.11,-0.69,0.183898449
-0.14,339.89,77.74,11.11,-0.69,0.013207436
-0.14,339.89,77.74,11.11,-0.69,0.013324738
-0.14,339.89,77.74,11.11,-0.69,0.013307333
-0.14,339.89,77.74,11.11,-0.69,0.013416529
-0.14,339.89,77.74,11.11,-0.69,0.014041424
-0.14,339.89,83.16,10.91,-0.69,0.153406382
-0.14,339.89,83.16,10.91,-0.69,0.165860176
-0.14,339.89,83.16,10.91,-0.69,0.014792681
-0.14,339.89,83.16,10.91,-0.69,0.013259172
-0.14,266.93,83.16,10.91,-0.69,0.160146952
-0.14,266.93,169.56,10.91,-0.4,0.149806738
-0.14,266.93,169.56,10.91,-0.4,0.162045002
-0.14,266.93,169.56,10.91,-0.4,0.013489246
-0.14,266.93,169.56,10.91,-0.4,0.01341939
-0.14,134.08,169.56,10.91,-0.4,0.156873465
-0.14,134.08,169.56,10.91,-0.4,0.013421774
-0.14,134.08,163.58,11.28,-0.4,0.161268234
-0.14,134.08,163.58,11.28,-0.4,0.16392231
-0.14,134.08,163.58,11.28,-0.4,0.015277386
-0.14,134.08,163.58,11.28,-0.4,0.014406681
-0.14,103.22,163.58,11.28,-0.4,0.174944401
-0.14,103.22,236.95,11.06,0,0.154254913
-0.14,103.22,236.95,11.06,0,0.171456099
-0.14,103.22,236.95,11.06,0,0.014029503
-0.14,103.22,236.95,11.06,0,0.013699532
-0.14,103.44,236.95,11.06,0,0.160372972
-0.14,103.44,236.95,11.06,0,0.019495249
-0.14,103.44,294.19,10.83,0,0.148783922
-0.14,103.44,294.19,10.83,0,0.191494465
-0.14,103.44,294.19,10.83,0,0.013649225
-0.14,103.44,294.19,10.83,0,0.013561964
-0.14,181.49,294.19,10.83,0,0.166095495
-0.14,181.49,134.47,10.82,-0.4,0.183800459
-0.14,181.49,134.47,10.82,-0.4,0.159083128
-0.14,181.49,134.47,10.82,-0.4,0.013546944
-0.14,181.49,134.47,10.82,-0.4,0.013548136
-0.14,314.12,134.47,10.82,-0.4,0.192659855
-0.14,314.12,80.02,10.84,-0.69,0.17418313
-0.14,314.12,80.02,10.84,-0.69,0.169026852
-0.29,314.12,80.02,10.84,-0.43,0.160938978
-0.14,400,80.02,10.84,-0.69,0.17028904
-0.14,400,239.74,10.98,-0.1,0.167311668
-0.14,400,239.74,10.98,-0.1,0.162577152
-0.14,400,239.74,10.98,-0.1,0.016538143
-0.14,400,239.74,10.98,-0.1,0.013444662
-0.14,266.01,239.74,10.98,-0.1,0.170560837
-0.14,266.01,239.74,10.98,-0.1,0.030729294
-0.14,266.01,227.98,11.03,-0.1,0.19030714
-0.14,266.01,227.98,11.03,-0.1,0.161830425
-0.14,266.01,227.98,11.03,-0.1,0.01342392
-0.14,132.7,227.98,11.03,0,0.187945843
-0.14,132.7,227.98,11.03,0,0.013657808
-0.14,132.7,189.71,10.87,-0.4,0.16524148
-0.14,132.7,189.71,10.87,-0.4,0.144779682
-0.14,132.7,189.71,10.87,-0.4,0.013586044
-0.14,266.68,189.71,10.87,-0.4,0.162215233
-0.14,266.68,189.71,10.87,-0.4,0.014028311
-0.14,266.68,361.73,10.6,-0.1,0.168752909
-0.14,266.68,361.73,10.6,-0.1,0.153962612
-0.29,239.58,361.73,10.6,-0.36,0.152816772
-0.14,239.58,361.73,10.6,-0.1,0.150940418
-0.14,239.58,289.96,10.6,-0.1,0.16107893
-0.14,239.58,289.96,10.6,-0.1,0.197304487
-0.14,239.58,289.96,10.6,-0.1,0.013417244
-0.14,96.24,289.96,10.6,0,0.17317462
-0.14,96.24,289.96,10.6,0,0.013468027
-0.14,96.24,180.35,10.84,-0.24,0.159947157
-0.14,96.24,180.35,10.84,-0.24,0.148810625
-0.14,96.24,180.35,10.84,-0.24,0.013557434
-0.14,96.24,180.35,10.84,-0.24,0.014292479
-0.14,124.41,180.35,10.84,-0.4,0.155725718
-0.14,124.41,180.35,10.84,-0.4,0.019427776
-0.14,124.41,129.73,11.03,-0.4,0.179009676
-0.14,124.41,129.73,11.03,-0.4,0.155653477
-0.14,124.41,129.73,11.03,-0.4,0.01377964
-0.14,134.22,129.73,11.03,-0.4,0.16959691
-0.14,134.22,129.73,11.03,-0.4,0.013696194
-0.14,134.22,71,10.81,-0.69,0.154805422
-0.14,134.22,71,10.81,-0.69,0.184856176
-0.14,134.22,71,10.81,-0.69,0.02172637
-0.14,134.22,71,10.81,-0.69,0.013387918
-0.14,160.75,71,10.81,-0.69,0.156620502
-0.29,160.75,50.84,10.79,-0.43,0.163053513
-0.14,160.75,50.84,10.79,-0.69,0.159218311
-0.29,160.75,50.84,10.79,-0.43,0.179175615
-0.29,160.76,50.84,10.79,-0.43,0.184596777
-0.29,160.76,53.79,11.02,-0.43,0.176836014
